7227.FBpp0088029 COG0003
7227.FBpp0070637 COG0144
7227.FBpp0077624 COG0144
7227.FBpp0078203 COG0144
7227.FBpp0087045 COG0144
7227.FBpp0289234 COG0144
7227.FBpp0071743 COG0145
7227.FBpp0077572 COG0148
7227.FBpp0084948 COG0149
7227.FBpp0079059 COG0151
7227.FBpp0073538 COG0152
7227.FBpp0112656 COG0152
7227.FBpp0076280 COG0153
7227.FBpp0081286 COG0154
7227.FBpp0083132 COG0154
7227.FBpp0083313 COG0154
7227.FBpp0084252 COG0154
7227.FBpp0087068 COG0154
7227.FBpp0112116 COG0154
7227.FBpp0072060 COG0156
7227.FBpp0075815 COG0156
7227.FBpp0080297 COG0156
7227.FBpp0086842 COG0156
7227.FBpp0080854 COG0158
7227.FBpp0075543 COG0160
7227.FBpp0112101 COG0160
7227.FBpp0291259 COG0160
7227.FBpp0072334 COG0162
7227.FBpp0075168 COG0162
7227.FBpp0077750 COG0164
7227.FBpp0289058 COG0165
7227.FBpp0087760 COG0166
7227.FBpp0071272 COG0167
7227.FBpp0289671 COG0167
7227.FBpp0086267 COG0170
7227.FBpp0073675 COG0171
7227.FBpp0077351 COG0172
7227.FBpp0082542 COG0172
7227.FBpp0083968 COG0172
7227.FBpp0080475 COG0173
7227.FBpp0073344 COG0174
7227.FBpp0077773 COG0174
7227.FBpp0073528 COG0175
7227.FBpp0080079 COG0175
7227.FBpp0072050 COG0176
7227.FBpp0088883 COG0177
7227.FBpp0073134 COG0179
7227.FBpp0075625 COG0179
7227.FBpp0083584 COG0179
7227.FBpp0306058 COG0179
7227.FBpp0074907 COG0180
7227.FBpp0081460 COG0180
7227.FBpp0072572 COG0181
7227.FBpp0085169 COG0182
7227.FBpp0071095 COG0183
7227.FBpp0072135 COG0183
7227.FBpp0072560 COG0183
7227.FBpp0079472 COG0183
7227.FBpp0071771 COG0184
7227.FBpp0079328 COG0184
7227.FBpp0086269 COG0185
7227.FBpp0087115 COG0186
7227.FBpp0304598 COG0187
7227.FBpp0081476 COG0190
7227.FBpp0088926 COG0192
7227.FBpp0075994 COG0194
7227.FBpp0079831 COG0194
7227.FBpp0087292 COG0194
7227.FBpp0088886 COG0194
7227.FBpp0111740 COG0194
7227.FBpp0290503 COG0194
7227.FBpp0290542 COG0194
7227.FBpp0081260 COG0196
7227.FBpp0084244 COG0197
7227.FBpp0099759 COG0197
7227.FBpp0304831 COG0197
7227.FBpp0306039 COG0197
7227.FBpp0078694 COG0198
7227.FBpp0305858 COG0198
7227.FBpp0074554 COG0199
7227.FBpp0074555 COG0199
7227.FBpp0081614 COG0199
7227.FBpp0077142 COG0200
7227.FBpp0077885 COG0200
7227.FBpp0078896 COG0201
7227.FBpp0078633 COG0202
7227.FBpp0080121 COG0202
7227.FBpp0302563 COG0203
7227.FBpp0073522 COG0204
7227.FBpp0075179 COG0204
7227.FBpp0076972 COG0204
7227.FBpp0079310 COG0204
7227.FBpp0110147 COG0204
7227.FBpp0111469 COG0204
7227.FBpp0291375 COG0204
7227.FBpp0300976 COG0204
7227.FBpp0087506 COG0205
7227.FBpp0077363 COG0207
7227.FBpp0079648 COG0209
7227.FBpp0077141 COG0211
7227.FBpp0071942 COG0212
7227.FBpp0078561 COG0212
7227.FBpp0111637 COG0212
7227.FBpp0291068 COG0212
7227.FBpp0086373 COG0215
7227.FBpp0086706 COG0215
7227.FBpp0080024 COG0216
7227.FBpp0086284 COG0216
7227.FBpp0079575 COG0217
7227.FBpp0070317 COG0220
7227.FBpp0072250 COG0221
7227.FBpp0076238 COG0222
7227.FBpp0085129 COG0223
7227.FBpp0084907 COG0224
7227.FBpp0075308 COG0225
7227.FBpp0302048 COG0228
7227.FBpp0081772 COG0229
7227.FBpp0072081 COG0231
7227.FBpp0076172 COG0233
7227.FBpp0075609 COG0234
7227.FBpp0082377 COG0234
7227.FBpp0301121 COG0235
7227.FBpp0304097 COG0235
7227.FBpp0304248 COG0236
7227.FBpp0076826 COG0237
7227.FBpp0081152 COG0237
7227.FBpp0071884 COG0240
7227.FBpp0297798 COG0240
7227.FBpp0305431 COG0240
7227.FBpp0081343 COG0241
7227.FBpp0081794 COG0242
7227.FBpp0081795 COG0242
7227.FBpp0087511 COG0244
7227.FBpp0306232 COG0244
7227.FBpp0075399 COG0249
7227.FBpp0301208 COG0249
7227.FBpp0073444 COG0251
7227.FBpp0304650 COG0251
7227.FBpp0070595 COG0252
7227.FBpp0081620 COG0252
7227.FBpp0070766 COG0255
7227.FBpp0291581 COG0256
7227.FBpp0304879 COG0256
7227.FBpp0076458 COG0257
7227.FBpp0076879 COG0258
7227.FBpp0080675 COG0258
7227.FBpp0086223 COG0258
7227.FBpp0099904 COG0258
7227.FBpp0071126 COG0259
7227.FBpp0081244 COG0259
7227.FBpp0081246 COG0259
7227.FBpp0076014 COG0260
7227.FBpp0076015 COG0260
7227.FBpp0076017 COG0260
7227.FBpp0076362 COG0260
7227.FBpp0076363 COG0260
7227.FBpp0082198 COG0260
7227.FBpp0082299 COG0260
7227.FBpp0086235 COG0260
7227.FBpp0086239 COG0260
7227.FBpp0086750 COG0260
7227.FBpp0086775 COG0260
7227.FBpp0305426 COG0261
7227.FBpp0110210 COG0262
7227.FBpp0301603 COG0263
7227.FBpp0080547 COG0264
7227.FBpp0072282 COG0265
7227.FBpp0082314 COG0265
7227.FBpp0303078 COG0265
7227.FBpp0079911 COG0270
7227.FBpp0084043 COG0271
7227.FBpp0086996 COG0271
7227.FBpp0087038 COG0274
7227.FBpp0081744 COG0275
7227.FBpp0085208 COG0276
7227.FBpp0070365 COG0277
7227.FBpp0292773 COG0277
7227.FBpp0073806 COG0278
7227.FBpp0080044 COG0278
7227.FBpp0082129 COG0281
7227.FBpp0086304 COG0281
7227.FBpp0290922 COG0281
7227.FBpp0291082 COG0281
7227.FBpp0291083 COG0281
7227.FBpp0100008 COG0284
7227.FBpp0073488 COG0285
7227.FBpp0077198 COG0285
7227.FBpp0300449 COG0285
7227.FBpp0081438 COG0288
7227.FBpp0075631 COG0292
7227.FBpp0073943 COG0293
7227.FBpp0082832 COG0293
7227.FBpp0083225 COG0293
7227.FBpp0083432 COG0293
7227.FBpp0079215 COG0295
7227.FBpp0304687 COG0295
7227.FBpp0304688 COG0295
7227.FBpp0086845 COG0296
7227.FBpp0079059 COG0299
7227.FBpp0071047 COG0300
7227.FBpp0080477 COG0300
7227.FBpp0080479 COG0300
7227.FBpp0112326 COG0300
7227.FBpp0304611 COG0300
7227.FBpp0071507 COG0302
7227.FBpp0070063 COG0303
7227.FBpp0078358 COG0304
7227.FBpp0290653 COG0306
7227.FBpp0071421 COG0308
7227.FBpp0071435 COG0308
7227.FBpp0072583 COG0308
7227.FBpp0075867 COG0308
7227.FBpp0082209 COG0308
7227.FBpp0082211 COG0308
7227.FBpp0083523 COG0308
7227.FBpp0083524 COG0308
7227.FBpp0083525 COG0308
7227.FBpp0083526 COG0308
7227.FBpp0084751 COG0308
7227.FBpp0084768 COG0308
7227.FBpp0084772 COG0308
7227.FBpp0110098 COG0308
7227.FBpp0110455 COG0308
7227.FBpp0111795 COG0308
7227.FBpp0271735 COG0308
7227.FBpp0288476 COG0308
7227.FBpp0289130 COG0308
7227.FBpp0297620 COG0308
7227.FBpp0300412 COG0308
7227.FBpp0304704 COG0308
7227.FBpp0304706 COG0308
7227.FBpp0084157 COG0314
7227.FBpp0084059 COG0316
7227.FBpp0304862 COG0316
7227.FBpp0084776 COG0317
7227.FBpp0071010 COG0318
7227.FBpp0071488 COG0318
7227.FBpp0071489 COG0318
7227.FBpp0072262 COG0318
7227.FBpp0072420 COG0318
7227.FBpp0076733 COG0318
7227.FBpp0078711 COG0318
7227.FBpp0082094 COG0318
7227.FBpp0083203 COG0318
7227.FBpp0083204 COG0318
7227.FBpp0083205 COG0318
7227.FBpp0083208 COG0318
7227.FBpp0083209 COG0318
7227.FBpp0083935 COG0318
7227.FBpp0111986 COG0318
7227.FBpp0290125 COG0318
7227.FBpp0292386 COG0318
7227.FBpp0288705 COG0320
7227.FBpp0078583 COG0321
7227.FBpp0086520 COG0323
7227.FBpp0087867 COG0323
7227.FBpp0292533 COG0324
7227.FBpp0084940 COG0325
7227.FBpp0084623 COG0326
7227.FBpp0085482 COG0326
7227.FBpp0305095 COG0326
7227.FBpp0080392 COG0327
7227.FBpp0087959 COG0328
7227.FBpp0072054 COG0330
7227.FBpp0074439 COG0330
7227.FBpp0074440 COG0330
7227.FBpp0078620 COG0330
7227.FBpp0080707 COG0330
7227.FBpp0082027 COG0330
7227.FBpp0111775 COG0330
7227.FBpp0290937 COG0330
7227.FBpp0293525 COG0330
7227.FBpp0075038 COG0331
7227.FBpp0085121 COG0333
7227.FBpp0083774 COG0334
7227.FBpp0088988 COG0334
7227.FBpp0081384 COG0335
7227.FBpp0084123 COG0339
7227.FBpp0085393 COG0339
7227.FBpp0078332 COG0340
7227.FBpp0076201 COG0343
7227.FBpp0077636 COG0343
7227.FBpp0082895 COG0345
7227.FBpp0083127 COG0345
7227.FBpp0076960 COG0346
7227.FBpp0088085 COG0346
7227.FBpp0112147 COG0349
7227.FBpp0081195 COG0350
7227.FBpp0081385 COG0354
7227.FBpp0305117 COG0355
7227.FBpp0100179 COG0356
7227.FBpp0082540 COG0359
7227.FBpp0073144 COG0360
7227.FBpp0082994 COG0361
7227.FBpp0070368 COG0362
7227.FBpp0073235 COG0363
7227.FBpp0297903 COG0363
7227.FBpp0074517 COG0364
7227.FBpp0113038 COG0364
7227.FBpp0078067 COG0365
7227.FBpp0083990 COG0365
7227.FBpp0079859 COG0366
7227.FBpp0079860 COG0366
7227.FBpp0080899 COG0366
7227.FBpp0086136 COG0366
7227.FBpp0086155 COG0366
7227.FBpp0086263 COG0366
7227.FBpp0087826 COG0366
7227.FBpp0087827 COG0366
7227.FBpp0087828 COG0366
7227.FBpp0087831 COG0366
7227.FBpp0087836 COG0366
7227.FBpp0087837 COG0366
7227.FBpp0087838 COG0366
7227.FBpp0271830 COG0366
7227.FBpp0303762 COG0366
7227.FBpp0089009 COG0367
7227.FBpp0289202 COG0367
7227.FBpp0076338 COG0369
7227.FBpp0078880 COG0369
7227.FBpp0082740 COG0369
7227.FBpp0099922 COG0369
7227.FBpp0070871 COG0372
7227.FBpp0082025 COG0372
7227.FBpp0073949 COG0377
7227.FBpp0084806 COG0377
7227.FBpp0081347 COG0382
7227.FBpp0073848 COG0385
7227.FBpp0074072 COG0385
7227.FBpp0072932 COG0386
7227.FBpp0085780 COG0386
7227.FBpp0070843 COG0388
7227.FBpp0070844 COG0388
7227.FBpp0070845 COG0388
7227.FBpp0070846 COG0388
7227.FBpp0072385 COG0388
7227.FBpp0081276 COG0388
7227.FBpp0081507 COG0388
7227.FBpp0072456 COG0389
7227.FBpp0078142 COG0389
7227.FBpp0081293 COG0389
7227.FBpp0082309 COG0394
7227.FBpp0083110 COG0394
7227.FBpp0099893 COG0394
7227.FBpp0100064 COG0394
7227.FBpp0074261 COG0398
7227.FBpp0112129 COG0400
7227.FBpp0303935 COG0400
7227.FBpp0078625 COG0402
7227.FBpp0070620 COG0404
7227.FBpp0079697 COG0404
7227.FBpp0088528 COG0404
7227.FBpp0073423 COG0405
7227.FBpp0074110 COG0405
7227.FBpp0074393 COG0405
7227.FBpp0297938 COG0405
7227.FBpp0074486 COG0406
7227.FBpp0083896 COG0406
7227.FBpp0113059 COG0407
7227.FBpp0078980 COG0408
7227.FBpp0080934 COG0415
7227.FBpp0083150 COG0415
7227.FBpp0087914 COG0415
7227.FBpp0088442 COG0415
7227.FBpp0075277 COG0417
7227.FBpp0083514 COG0417
7227.FBpp0083800 COG0417
7227.FBpp0087907 COG0417
7227.FBpp0290882 COG0419
7227.FBpp0300931 COG0420
7227.FBpp0075741 COG0421
7227.FBpp0081556 COG0421
7227.FBpp0075386 COG0423
7227.FBpp0079391 COG0424
7227.FBpp0084968 COG0427
7227.FBpp0076350 COG0428
7227.FBpp0080687 COG0428
7227.FBpp0087144 COG0428
7227.FBpp0088864 COG0428
7227.FBpp0112084 COG0428
7227.FBpp0087661 COG0429
7227.FBpp0300634 COG0429
7227.FBpp0070316 COG0430
7227.FBpp0073651 COG0430
7227.FBpp0301022 COG0432
7227.FBpp0076548 COG0434
7227.FBpp0073600 COG0436
7227.FBpp0073725 COG0436
7227.FBpp0081993 COG0436
7227.FBpp0072887 COG0438
7227.FBpp0082496 COG0438
7227.FBpp0082947 COG0438
7227.FBpp0086042 COG0438
7227.FBpp0305584 COG0438
7227.FBpp0111967 COG0439
7227.FBpp0075425 COG0441
7227.FBpp0079914 COG0441
7227.FBpp0072825 COG0442
7227.FBpp0083898 COG0442
7227.FBpp0070395 COG0443
7227.FBpp0073445 COG0443
7227.FBpp0075504 COG0443
7227.FBpp0076400 COG0443
7227.FBpp0081956 COG0443
7227.FBpp0081986 COG0443
7227.FBpp0082105 COG0443
7227.FBpp0082106 COG0443
7227.FBpp0082107 COG0443
7227.FBpp0082147 COG0443
7227.FBpp0082175 COG0443
7227.FBpp0082516 COG0443
7227.FBpp0083974 COG0443
7227.FBpp0086694 COG0443
7227.FBpp0292999 COG0443
7227.FBpp0071745 COG0445
7227.FBpp0075398 COG0445
7227.FBpp0099909 COG0445
7227.FBpp0073081 COG0446
7227.FBpp0077504 COG0446
7227.FBpp0080714 COG0446
7227.FBpp0289482 COG0446
7227.FBpp0304005 COG0446
7227.FBpp0084666 COG0449
7227.FBpp0291990 COG0449
7227.FBpp0072852 COG0450
7227.FBpp0073594 COG0450
7227.FBpp0075397 COG0450
7227.FBpp0077368 COG0450
7227.FBpp0082927 COG0450
7227.FBpp0087354 COG0450
7227.FBpp0087356 COG0450
7227.FBpp0087406 COG0450
7227.FBpp0071816 COG0451
7227.FBpp0075044 COG0451
7227.FBpp0076413 COG0451
7227.FBpp0077855 COG0451
7227.FBpp0083882 COG0451
7227.FBpp0071589 COG0452
7227.FBpp0083166 COG0452
7227.FBpp0082508 COG0454
7227.FBpp0297241 COG0454
7227.FBpp0070203 COG0456
7227.FBpp0072598 COG0456
7227.FBpp0076077 COG0456
7227.FBpp0080033 COG0456
7227.FBpp0080059 COG0456
7227.FBpp0080629 COG0456
7227.FBpp0087227 COG0456
7227.FBpp0089006 COG0456
7227.FBpp0304758 COG0456
7227.FBpp0070906 COG0457
7227.FBpp0071560 COG0457
7227.FBpp0071879 COG0457
7227.FBpp0072164 COG0457
7227.FBpp0072561 COG0457
7227.FBpp0075683 COG0457
7227.FBpp0077614 COG0457
7227.FBpp0077718 COG0457
7227.FBpp0077790 COG0457
7227.FBpp0079664 COG0457
7227.FBpp0079814 COG0457
7227.FBpp0080720 COG0457
7227.FBpp0082545 COG0457
7227.FBpp0082652 COG0457
7227.FBpp0084076 COG0457
7227.FBpp0084440 COG0457
7227.FBpp0085279 COG0457
7227.FBpp0085479 COG0457
7227.FBpp0087297 COG0457
7227.FBpp0111383 COG0457
7227.FBpp0111406 COG0457
7227.FBpp0112016 COG0457
7227.FBpp0290896 COG0457
7227.FBpp0296963 COG0457
7227.FBpp0296980 COG0457
7227.FBpp0302581 COG0457
7227.FBpp0305561 COG0457
7227.FBpp0088675 COG0458
7227.FBpp0071226 COG0459
7227.FBpp0073290 COG0459
7227.FBpp0073902 COG0459
7227.FBpp0077665 COG0459
7227.FBpp0078742 COG0459
7227.FBpp0079992 COG0459
7227.FBpp0080095 COG0459
7227.FBpp0081401 COG0459
7227.FBpp0082787 COG0459
7227.FBpp0083683 COG0459
7227.FBpp0087095 COG0459
7227.FBpp0083440 COG0461
7227.FBpp0070679 COG0462
7227.FBpp0070680 COG0462
7227.FBpp0076145 COG0462
7227.FBpp0291761 COG0462
7227.FBpp0079234 COG0463
7227.FBpp0080817 COG0463
7227.FBpp0072937 COG0464
7227.FBpp0074676 COG0464
7227.FBpp0075519 COG0464
7227.FBpp0079654 COG0464
7227.FBpp0080234 COG0464
7227.FBpp0081381 COG0464
7227.FBpp0081549 COG0464
7227.FBpp0082345 COG0464
7227.FBpp0082346 COG0464
7227.FBpp0083918 COG0464
7227.FBpp0089153 COG0464
7227.FBpp0099935 COG0464
7227.FBpp0111818 COG0464
7227.FBpp0302957 COG0464
7227.FBpp0303790 COG0464
7227.FBpp0305521 COG0464
7227.FBpp0070479 COG0465
7227.FBpp0075012 COG0465
7227.FBpp0079539 COG0465
7227.FBpp0293463 COG0465
7227.FBpp0271918 COG0466
7227.FBpp0082392 COG0468
7227.FBpp0084486 COG0468
7227.FBpp0084955 COG0468
7227.FBpp0290742 COG0468
7227.FBpp0074988 COG0469
7227.FBpp0077406 COG0469
7227.FBpp0078083 COG0469
7227.FBpp0083611 COG0469
7227.FBpp0083612 COG0469
7227.FBpp0304089 COG0469
7227.FBpp0073120 COG0470
7227.FBpp0074246 COG0470
7227.FBpp0079609 COG0470
7227.FBpp0079812 COG0470
7227.FBpp0082433 COG0470
7227.FBpp0074848 COG0471
7227.FBpp0099666 COG0471
7227.FBpp0290402 COG0471
7227.FBpp0290914 COG0471
7227.FBpp0080017 COG0472
7227.FBpp0072200 COG0473
7227.FBpp0076311 COG0473
7227.FBpp0083588 COG0473
7227.FBpp0086326 COG0473
7227.FBpp0112201 COG0473
7227.FBpp0300338 COG0473
7227.FBpp0071750 COG0474
7227.FBpp0072125 COG0474
7227.FBpp0074048 COG0474
7227.FBpp0079815 COG0474
7227.FBpp0086831 COG0474
7227.FBpp0088502 COG0474
7227.FBpp0088794 COG0474
7227.FBpp0112329 COG0474
7227.FBpp0288804 COG0474
7227.FBpp0289035 COG0474
7227.FBpp0289580 COG0474
7227.FBpp0289782 COG0474
7227.FBpp0291443 COG0474
7227.FBpp0304415 COG0474
7227.FBpp0306159 COG0474
7227.FBpp0073354 COG0476
7227.FBpp0075938 COG0476
7227.FBpp0076457 COG0476
7227.FBpp0076458 COG0476
7227.FBpp0079295 COG0476
7227.FBpp0082065 COG0476
7227.FBpp0085891 COG0476
7227.FBpp0086711 COG0476
7227.FBpp0087583 COG0476
7227.FBpp0070921 COG0477
7227.FBpp0071516 COG0477
7227.FBpp0075085 COG0477
7227.FBpp0076594 COG0477
7227.FBpp0085319 COG0477
7227.FBpp0087855 COG0477
7227.FBpp0087856 COG0477
7227.FBpp0087857 COG0477
7227.FBpp0088549 COG0477
7227.FBpp0289980 COG0477
7227.FBpp0305687 COG0477
7227.FBpp0084191 COG0478
7227.FBpp0074419 COG0479
7227.FBpp0085489 COG0479
7227.FBpp0075148 COG0480
7227.FBpp0079041 COG0480
7227.FBpp0084626 COG0480
7227.FBpp0305182 COG0480
7227.FBpp0099977 COG0481
7227.FBpp0070168 COG0482
7227.FBpp0075268 COG0483
7227.FBpp0075270 COG0483
7227.FBpp0078069 COG0483
7227.FBpp0296988 COG0483
7227.FBpp0305752 COG0483
7227.FBpp0305753 COG0483
7227.FBpp0071393 COG0484
7227.FBpp0072661 COG0484
7227.FBpp0073559 COG0484
7227.FBpp0073560 COG0484
7227.FBpp0073862 COG0484
7227.FBpp0074192 COG0484
7227.FBpp0076446 COG0484
7227.FBpp0076829 COG0484
7227.FBpp0077720 COG0484
7227.FBpp0078137 COG0484
7227.FBpp0078138 COG0484
7227.FBpp0078146 COG0484
7227.FBpp0080071 COG0484
7227.FBpp0081306 COG0484
7227.FBpp0081552 COG0484
7227.FBpp0082219 COG0484
7227.FBpp0082249 COG0484
7227.FBpp0082332 COG0484
7227.FBpp0085515 COG0484
7227.FBpp0086667 COG0484
7227.FBpp0088955 COG0484
7227.FBpp0112106 COG0484
7227.FBpp0112541 COG0484
7227.FBpp0290487 COG0484
7227.FBpp0297899 COG0484
7227.FBpp0305077 COG0484
7227.FBpp0305671 COG0484
7227.FBpp0084012 COG0486
7227.FBpp0073367 COG0488
7227.FBpp0073872 COG0488
7227.FBpp0074708 COG0488
7227.FBpp0077868 COG0489
7227.FBpp0080448 COG0489
7227.FBpp0289153 COG0489
7227.FBpp0077912 COG0491
7227.FBpp0079258 COG0491
7227.FBpp0288428 COG0491
7227.FBpp0087272 COG0493
7227.FBpp0073658 COG0494
7227.FBpp0075979 COG0494
7227.FBpp0079490 COG0494
7227.FBpp0080823 COG0494
7227.FBpp0112427 COG0494
7227.FBpp0292831 COG0494
7227.FBpp0292832 COG0494
7227.FBpp0293514 COG0494
7227.FBpp0303742 COG0494
7227.FBpp0304597 COG0494
7227.FBpp0073204 COG0495
7227.FBpp0077251 COG0495
7227.FBpp0072886 COG0499
7227.FBpp0073847 COG0499
7227.FBpp0089085 COG0499
7227.FBpp0071849 COG0500
7227.FBpp0075244 COG0500
7227.FBpp0077165 COG0500
7227.FBpp0079751 COG0500
7227.FBpp0080676 COG0500
7227.FBpp0081780 COG0500
7227.FBpp0082341 COG0500
7227.FBpp0082342 COG0500
7227.FBpp0082588 COG0500
7227.FBpp0083506 COG0500
7227.FBpp0113056 COG0500
7227.FBpp0288850 COG0500
7227.FBpp0302559 COG0500
7227.FBpp0303475 COG0500
7227.FBpp0305840 COG0500
7227.FBpp0075901 COG0501
7227.FBpp0086207 COG0501
